undefined 1   Bitcoin  BTC/USDT   $305 297 048     $8265.31   37.54% Spot Percentage Недавно 
 2   Ethereum  ETH/USDT   $51 880 484     $176.87   6.38% Spot Percentage Недавно 
 3   Binance Coin  BNB/USDT   $31 579 605     $18.34   3.88% Spot Percentage Недавно 
 4   XRP  XRP/USDT   $26 285 515      $0.292163   3.23% Spot Percentage Недавно 
 5   Chainlink  LINK/USDT   $24 867 575     $2.62   3.06% Spot Percentage Недавно 
 6   Bitcoin Cash  BCHABC/USDT   $24 668 125     $232.53   3.03% Spot Percentage Недавно 
 7   Binance Coin  BNB/BTC   $20 300 870     $18.33   2.50% Spot Percentage Недавно 
 8   XRP  XRP/BTC   $19 709 526     $0.292054   2.42% Spot Percentage Недавно 
 9   Ethereum  ETH/BTC   $18 505 045     $176.63   2.28% Spot Percentage Недавно 
 10   Chainlink  LINK/BTC   $17 775 159     $2.62   2.19% Spot Percentage Недавно 
 11   Dock  DOCK/BTC   $15 083 862     $0.013290   1.85% Spot Percentage Недавно 
 12   EOS  EOS/USDT   $13 522 197     $2.96    1.66% Spot Percentage Недавно 
 13   Litecoin  LTC/USDT   $13 061 294     $55.20   1.61% Spot Percentage Недавно 
 14   Bitcoin  BTC/USDC   $12 777 920     $8252.73   1.57% Spot Percentage Недавно 
 15   Dock  DOCK/USDT   $9 305 571     $0.013294   1.14% Spot Percentage Недавно 
 16   TRON  TRX/USDT   $7 945 226     $0.015688   0.98%  Spot Percentage Недавно 
 17   Chiliz  CHZ/BTC   $7 789 960     $0.009823   0.96% Spot Percentage Недавно 
 18   USD Coin  USDC/USDT   $7 540 756     $1.00   0.93% Spot Percentage Недавно 
 19   Bitcoin Cash  BCHABC/BTC   $6 947 587     $232.36   0.85% Spot Percentage Недавно 
 20   Binance USD  BUSD/USDT   $6 246 560     $1.00   0.77% Spot Percentage Недавно 
 21   Litecoin  LTC/BTC   $5 975 286     $55.14   0.73% Spot Percentage Недавно 
 22   Bitcoin  BTC/PAX   $5 349 619     $8262.85   0.66% Spot Percentage Недавно 
  23   Matic Network  MATIC/BTC   $4 846 237     $0.014776   0.60% Spot Percentage Недавно 
 24   BitTorrent  BTT/USDT   $4 427 896     $0.000421   0.54% Spot Percentage Недавно 
 25   NKN  NKN/BTC   $4 382 348     $0.035165   0.54% Spot Percentage Недавно 
 26   0x  ZRX/BTC   $4 366 569     $0.325073   0.54% Spot Percentage Недавно 
 27   EOS  EOS/BTC   $3 697 236     $2.95   0.45% Spot Percentage Недавно 
 28   Cardano  ADA/USDT   $3 647 755     $0.039344    0.45% Spot Percentage Недавно 
 29   Paxos Standard  PAX/USDT   $3 474 009     $1.00   0.43% Spot Percentage Недавно 
 30   Monero  XMR/BTC   $3 354 055     $57.80    0.41% Spot Percentage Недавно 
 31   Matic Network  MATIC/USDT   $3 343 189     $0.014734   0.41% Spot Percentage Недавно 
 32   Bitcoin  BTC/TUSD   $3 236 274     $8248.96   0.40% Spot Percentage Недавно 
 33   Ethereum Classic  ETC/USDT   $3 193 116     $4.56   0.39% Spot Percentage Недавно 
 34   Cardano  ADA/BTC   $3 150 580     $0.039375   0.39% Spot Percentage Недавно 
 35   Bitcoin  BTC/BUSD   $2 772 194     $8256.90   0.34% Spot Percentage Недавно 
 36   0x  ZRX/USDT   $2 688 574     $0.325395   0.33% Spot  Percentage Недавно 
 37   Beam  BEAM/BTC   $2 572 953     $0.583612   0.32% Spot Percentage Недавно 
 38   Holo  HOT/USDT   $2 556 187     $0.000954   0.31% Spot Percentage Недавно 
 39   Fetch  FET/USDT   $2 532 833     $0.040750   0.31% Spot Percentage Недавно 
 40   TRON  TRX/BTC   $2 180 631     $0.015602   0.27% Spot Percentage Недавно 
  41   TrueUSD  TUSD/USDT   $2 034 990     $1.00   0.25% Spot Percentage Недавно 
 42   Fetch  FET/BTC   $2 026 752     $0.040696   0.25% Spot Percentage Недавно 
 43    Stellar  XLM/USDT   $2 025 765     $0.063744   0.25% Spot Percentage Недавно 
 44   Etherparty  FUEL/BTC   $1 958 026     $0.004458   0.24% Spot Percentage Недавно 
 45   Holo  HOT/BTC   $1 919 606     $0.000908   0.24% Spot Percentage Недавно 
 46   Ontology  ONT/USDT   $1 866 997     $0.594383   0.23% Spot Percentage Недавно 
 47   Chiliz  CHZ/USDT   $1 722 730     $0.009790   0.21% Spot Percentage Недавно 
